                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.58603,                0.15325,                0.04624,                0.39413,                0.83116,                0.99444,                0.99326,                0.99493,                0.90102,                0.99023,                 0.9888,                0.99203,                0.99098,                0.46267,                0.10311,                0.00546,                 0.3071,                0.80537,               0.009899,               0.009899,               0.009899
                     54,                0.55668,                0.14346,                0.05377,                0.40004,                0.83212,                0.98091,                0.96569,                0.98839,                0.88172,                0.94564,                0.91673,                0.93691,                0.87472,                0.51658,                0.50355,                0.01061,                0.35226,                0.82223,               0.009897,               0.009897,               0.009897
                     55,                0.58953,                 0.1492,                0.05271,                0.39099,                0.83166,                0.99299,                0.98919,                 0.9949,                0.88633,                0.98871,                0.98512,                0.99189,                0.98998,                0.50485,                0.10056,                0.00732,                0.31722,                0.80888,              0.0098951,              0.0098951,              0.0098951
                     56,                0.56985,                0.16616,                0.05301,                0.38255,                0.82591,                0.99396,                0.99309,                0.99492,                0.89442,                0.99094,                0.98906,                0.99224,                0.99149,                0.47846,                0.08791,                0.00598,                0.32213,                0.80722,              0.0098931,              0.0098931,              0.0098931
                     57,                0.56319,                0.15206,                0.04873,                0.39863,                 0.8238,                0.99367,                 0.9912,                0.99489,                0.89277,                0.99063,                0.98387,                0.98955,                0.98543,                0.46921,                 0.1373,                0.00558,                0.31838,                0.80809,              0.0098911,              0.0098911,              0.0098911
                     58,                0.55304,                 0.1346,                 0.0473,                0.41508,                 0.8228,                0.96517,                0.95063,                 0.9813,                0.86676,                0.95736,                0.94362,                0.96273,                0.93155,                0.52808,                0.22883,                0.02742,                 0.4166,                0.82448,              0.0098891,              0.0098891,              0.0098891
                     59,                0.55056,                0.14424,                0.05493,                0.40016,                0.83043,                0.98261,                0.98464,                0.99387,                0.89659,                0.97238,                0.96137,                0.96819,                0.96118,                0.48676,                0.20255,                0.00686,                0.32831,                0.81241,              0.0098871,              0.0098871,              0.0098871
                     60,                0.55675,                0.13405,                0.04831,                0.38958,                0.82964,                0.99683,                0.99027,                0.99491,                0.89987,                0.99036,                0.98434,                0.99069,                0.98854,                0.46526,                0.11864,                0.00633,                0.31263,                 0.8089,              0.0098852,              0.0098852,              0.0098852
                     61,                 0.5475,                0.15041,                0.05012,                0.38808,                0.83265,                0.99035,                 0.9892,                0.99461,                0.90045,                0.98797,                0.98659,                0.99131,                0.98938,                0.48515,                0.09543,                0.00522,                 0.3392,                0.80929,              0.0098832,              0.0098832,              0.0098832
                     62,                0.56422,                0.12337,                0.05061,                0.39907,                 0.8282,                0.99299,                0.99071,                0.99478,                0.89645,                0.98927,                0.98661,                0.99192,                0.99003,                0.47461,                0.10517,                0.00578,                0.31826,                0.81155,              0.0098812,              0.0098812,              0.0098812
                     63,                0.54824,                0.13255,                0.05101,                0.38643,                0.83004,                0.99328,                0.99264,                0.99483,                0.89439,                0.98752,                0.98446,                0.98936,                0.98788,                0.47913,                0.12882,                0.00563,                0.31212,                0.80885,              0.0098792,              0.0098792,              0.0098792
                     64,                0.53037,                0.13593,                0.04263,                 0.3875,                0.83128,                0.89818,                0.88684,                0.93079,                0.79349,                0.74065,                0.71588,                0.72955,                0.70905,                0.64971,                 1.6915,                0.01241,                0.50979,                0.87054,              0.0098772,              0.0098772,              0.0098772
                     65,                0.57216,                0.13438,                0.05343,                0.38818,                0.82985,                0.89763,                0.88878,                0.92593,                0.77824,                0.74746,                0.73795,                0.74566,                 0.7316,                0.70367,                 1.5537,                0.01646,                0.51404,                0.88068,              0.0098753,              0.0098753,              0.0098753
                     66,                  0.566,                0.13947,                0.04712,                0.38805,                0.82861,                0.97053,                0.94299,                0.98485,                0.86421,                0.93185,                0.90688,                 0.9136,                  0.863,                0.55757,                0.43978,                0.01816,                0.41402,                0.83091,              0.0098733,              0.0098733,              0.0098733
                     67,                0.56141,                 0.2131,                0.05555,                0.40089,                0.82991,                0.97574,                0.94787,                0.98649,                0.85081,                0.97459,                0.94185,                 0.9834,                0.96067,                0.58984,                0.23464,                0.00713,                0.37705,                0.83852,              0.0098713,              0.0098713,              0.0098713
                     68,                0.56559,                0.14279,                0.04813,                0.38798,                0.83288,                0.99307,                0.97673,                0.99447,                0.90023,                 0.9881,                0.97181,                0.99127,                0.98996,                0.47964,                0.08803,                0.00689,                  0.314,                0.80991,              0.0098693,              0.0098693,              0.0098693
                     69,                0.56897,                0.13768,                0.03888,                0.37593,                0.82896,                 0.9913,                0.98545,                 0.9947,                 0.9027,                0.99052,                0.98188,                0.99197,                0.99148,                0.47428,                0.08495,                0.00411,                0.30115,                0.80679,              0.0098673,              0.0098673,              0.0098673
                     70,                0.53844,                0.14366,                 0.0465,                0.38286,                0.82492,                0.99498,                0.98762,                0.99468,                0.90472,                0.99218,                0.98484,                0.99212,                0.99123,                0.46834,                0.09759,                0.00467,                0.30969,                0.80646,              0.0098654,              0.0098654,              0.0098654
